rowIdZuellig,codeZuellig,rowIdLynXCRM,codeLynXCRM,distance
450,201905,1614,0011i000001xmwE,0
451,201912,1608,0011i000001xmzz,48
452,201920,204,0011i000001xmcB,627
453,201922,1440,0011i000001xmgt,0
454,201924,1993,0011i000001xmjz,47
455,201928,1405,0011i000001xnK8,0
456,201929,1961,0011i000001xnL1,0
457,201934,136,0011i000001xmbr,0
458,201935,1290,0011i000001xnCx,0
459,201936,1410,0011i000001xnd8,0
460,201938,1234,0011i000001xnBP,0
461,201940,1466,0011i000001xnFQ,0
462,201943,1583,0011i000001xmzx,0
463,201949,1595,0011i000001xmoY,315
464,201951,512,0011i000001xnEP,0
465,201958,1781,0011i000001xnCF,25
466,201959,1785,0011i000001xnDc,0
467,201960,182,0011i000001xmx0,14
468,201967,675,0011i000001xmoS,0
469,201968,1779,0011i000001xnBJ,0
470,201978,564,0011i000001xnBV,0
471,201980,541,0011i000001xnVs,0
472,201984,540,0011i000001xmsr,0
473,201993,807,0011i000001xmvK,0
474,201994,1398,0011i000001xmoX,0
475,201999,1398,0011i000001xmoX,35
476,202000,796,0011i000001xmhw,0
477,202002,1314,0011i000001xnAA,0
478,202006,251,0011i000001xncc,235
479,202009,1269,0011i000001xnXl,0
480,202013,1923,0011i000001xnGD,63
481,202019,2008,0011i000001xn1a,0
482,202025,2019,0011i000001xnSk,128
483,202026,1114,0011i000001xndL,0
484,202027,175,0011i000005xAbY,160
485,202033,1697,0011i000001xnd9,0
486,202034,1586,0011i000001xnb8,0
487,202035,54,0011i000001xnCC,0
488,202036,2040,0011i000001xn59,460
489,202053,1280,0011i000001xmwd,0
490,202057,665,0011i000001xnU7,0
491,202064,1423,0011i000001xnZu,0
492,202066,1131,0011i00000tWN9p,57
493,202071,791,0011i000001xnP4,0
494,202077,48,0011i000001xn9E,0
495,202078,1468,0011i000001xnDr,215
496,202084,972,0011i000001xnVL,18
497,202092,1395,0011i000001xn2v,0
498,202105,2012,0011i000001xnKf,56
499,202106,1922,0011i000001xnHR,847
500,202109,1111,0011i000001xn5H,0
501,202112,1478,0011i000001xmfD,0
502,202116,2083,0011i000001xnDV,0
503,202119,1968,0011i000001xnL0,0
504,202122,1927,0011i000001xmq1,0
505,202126,793,0011i000001xn1t,2
506,202127,1643,0011i000001xnGM,0
507,202130,807,0011i000001xmvK,0
508,202132,2092,0011i000001xnLN,0
509,202133,1350,0011i000001xndN,0
510,202134,1642,0011i000001xnRA,0
511,202138,807,0011i000001xmvK,0
512,202139,523,0011i000001xn26,0
513,202141,784,0011i000001xnW6,539
